longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,1103848,On modeling pollution-generating technologies,"We distinguish between intended production and residual generation and introduce the concept of by-production. We show that by-production provides the fundamental explanation for the positive correlation that is observed between intended production and residual generation. Most of the existing literature attributes the observed positive correlation to abatement options available to firms. We show that abatement options of firms add to the phenomenon of by-production in strengthening the observed positive correlation. The existing literature usually does not explicitly model abatement options of firms, but considers a reduced form of he technology, which satisfies standard disposability assumptions with respect to all inputs and intended outputs. We show that more than one implicit production relation is needed to capture all the technological trade-offs that are implied by by-production. From our model, we are able to derive a reduced form of the technology that is in the spirit of the one that is usually studied in the literature. However, we nd that our reduced form technology violates standard disposability with respect to inputs and intended outputs that cause pollution. We derive implications from the phenomenon of by-production for the econometric and Data Envelopment Analysis (DEA) specifications of pollution-generating technologies. We derive a DEA specification of technologies that satisfy by-production. Such a specification can be used to study issues relating to measurement of efficiency, marginal abatement costs, productivity, etc., of firms with technologies that generate pollution.",20100101,"Murty, Sushama ; Russell, R. Robert",Working Paper,Working Paper,2010,,On modeling pollution-generating technologies,,GEN,,,,,,,,eng,"University of Warwick, Department of Economics, The Warwick Economics Research Paper Series (TWERPS)",,,,,,,,,,https://research.ebsco.com/plink/707614c3-e6cc-3a36-bf64-467a41ebd4ab,,,,
EconLit with Full Text,eoh,1045347,Business Strategy and Firm Reorganization under Changing Market Conditions,"This study is framed against the increasingly stringent environmental demands on the pulp and paper industry since the late-1980s to reduce water and air pollution, and the global economic slowdown of the early-1990s. The primary focus of this paper is an observation-based analysis conducted by visiting selected paper mills in Finland, the U.S., Germany and Sweden. I find interesting differences and similarities in the firms' strategies in terms of how they responded to these changes in market conditions. Some of the observed differences lie in their focus on achieving (incremental) cost-efficiency gains from better management of the production processes, inventories, supply-chain, product distribution, and timing of modernization investments, including ICT. The second part of the paper presents evidence on firms' productivity paths, and the heterogeneity in productivity among relatively similar firms. I also present selected evidence of these firms' investments in specific areas and how they affected their productivity. The observation of important intra-industry differences across relatively similar firms lends credence to the insights provided by Denrell, Fang and Winter (2003) and Zott (2003), among others. The findings have implications for the study of organizational behavior and business strategies employed by firms to improve their performance and productivity under changing market conditions. We end with some comments on how to assess innovative activity in traditional industries such as pulp and paper.",20090101,"Ghosal, Vivek",Working Paper,Working Paper,2009,,Business Strategy and Firm Reorganization under Changing Market Conditions,"Industrial Organization: General ; Production, Pricing, and Market Structure; Size Distribution of Firms ; Firm Objectives, Organization, and Behavior: General ; Organization of Production ; Firm Performance: Size, Diversification, and Scope",GEN,,,,,,,,eng,"CESifo GmbH, CESifo Working Paper Series: CESifo Working Paper No. 2673",,,,,,,,,,https://research.ebsco.com/plink/735996b3-3e3b-3b9f-bae7-41cec7e60e54,,,,
EconLit with Full Text,eoh,1366030,"Environment, Health, and Human Capital","In this review, we discuss three major contributions economists have made to our understanding of the relationship between the environment and individual well-being. First, in explicitly recognizing how optimizing behavior, particularly in the form of residential sorting, can lead to non-random assignment of pollution, economists have employed a wide range of quasi-experimental techniques to develop causal estimates of the effect of pollution. Second, economic research has placed a considerable focus on the role of avoidance behavior, which is an important component for understanding the difference between biological and behavioral effects of pollution and for proper welfare calculations. Lastly, economic research has expanded the focus of analysis beyond traditional health outcomes to include measures of human capital, including labor supply, productivity, and cognition. Our review of the quasi-experimental evidence on this topic suggests that pollution does indeed have a wide range of effects on individual well-being, even at levels well below current regulatory standards. Given the importance of health and human capital as an engine for economic growth, these findings underscore the role of environmental conditions as an important factor of production.",20130101,"Zivin, Joshua Graff ; Neidell, Matthew",Working Paper,Working Paper,2013,,"Environment, Health, and Human Capital",Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Public Goods ; Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Environmental Economics: General,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 18935",,,,,,,,,,https://research.ebsco.com/plink/43ccba53-872d-376c-a498-cd6c9f582712,,,,
EconLit with Full Text,eoh,1075222,Three Papers on Environmental Issues in Developing Countries,"Sustainable development requires attaining a balance between maintaining environmental quality and controlling the impact of environmental regulations on productivity and competitiveness. This paper examines a margin of adjustment not commonly addressed in evaluating environmental regulation; the response by multi-product firms at the intensive (quantity per variety) and extensive (number of varieties) margins of their product portfolios. It parses the effect of changes in enforcement across the distribution of low to high productivity firms. I find (a) that firms react to changes in enforcement by increasing the share of their product portfolios allocated to clean products, (b) that consistent with theory the magnitude of this effect varies across the productivity distribution, and (c) that this in turn affects competition and quantities supplied in these markets. I test the predictions of the theoretical model using a firm and product-level data set for over 2300 large firms across all manufacturing industries in India for the period 1997-2005. High productivity firms in the pollution intensive industry invest in new, generally cleaner capital and gain in both sales and profitability following an increase in enforcement. The market consolidation toward cleaner high productivity firms in response to environmental regulation shows that the costs of regulation are not evenly distributed. Portfolio reallocations in response to changes in environmental regulations cause compositional changes in local manufacturing which increase the impact of the change in environmental enforcement beyond the benefits associated with the required abatement technologies.",20090501,"Lipscomb, Molly",Dissertation,Dissertation,May 2009,,Three Papers on Environmental Issues in Developing Countries,"Firm Performance: Size, Diversification, and Scope ; Industry Studies: Manufacturing: General ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Industrialization; Manufacturing and Service Industries; Choice of Technology ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Environmental Economics: Government Policy",GEN,,,,,,,,eng,University of Colorado,,,,,,,,,,https://research.ebsco.com/plink/bf0d9b94-516c-3cee-b2ba-f8a5b64f8294,,,,
EconLit with Full Text,eoh,1331727,Early-Life Health and Adult Circumstance in Developing Countries,"A growing literature documents the links between long-term outcomes and health in the fetal period, infancy, and early childhood. Much of this literature focuses on rich countries, but researchers are increasingly taking advantage of new sources of data and identification to study the long reach of childhood health in developing countries. Health in early life may be a more significant determinant of adult outcomes in these countries because health insults are more frequent, the capacity to remediate is more limited, and multiple shocks may interact. However, the underlying relationships may also be more difficult to measure, given significant mortality selection. We survey recent evidence on the adult correlates of early-life health and the long-term effects of shocks due to disease, famine, malnutrition, pollution, and war.",20120101,"Currie, Janet ; Vogl, Tom",Working Paper,Working Paper,2012,,Early-Life Health and Adult Circumstance in Developing Countries,Health Behavior ; Health and Economic Development ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Human Resources; Human Development; Income Distribution; Migration,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 18371",,,,,,,,,,https://research.ebsco.com/plink/4d899963-f2b1-3b0e-9513-e0d6ae2e729b,,,,
EconLit with Full Text,eoh,1060561,The Revenge of the Market on the Rentiers: Why neo-liberal Reports of the end of history turned out to be premature,"Starting from the perspective of heterodox Keynesian-Minskyian-Kindlebergian financial economics, this paper begins by highlighting a number of mechanisms that contributed to the current financial crisis. These include excess liquidity, income polarisation, conflicts between financial and productive capital, lack of appropriate regulation, asymmetric information, principal-agent dilemmas and bounded rationalities. However, the paper then proceeds to argue that perhaps more than ever the 'macroeconomics' that led to this crisis only makes analytical sense if examined within the framework of the political settlements and distributional outcomes in which it had operated. Taking the perspective of critical social theories the paper concludes that, ultimately, the current financial crisis is the outcome of something much more systemic, namely an attempt to use neo-liberalism (or, in US terms, neo-conservatism) as a new technology of power to help transform capitalism into a rentiers' delight. In particular, into a system without much 'compulsions' on big business; i.e., one that imposes only minimal pressures on big agents to engage in competitive struggles in the real economy (while doing the opposite to workers and small firms). A key component in the effectiveness of this new technology of power was its ability to transform the state into a major facilitator of the ever-increasing rent-seeking practices of oligopolistic capital. The architects of this experiment include some capitalist groups (in particular rentiers from the financial sector as well as capitalists from the 'mature' and most polluting industries of the preceding techno-economic paradigm), some political groups, as well as intellectual networks with their allies--including many economists and the 'new' left. Although rentiers did succeed in their attempt to get rid of practically all fetters on their greed, in the end, the crisis materialised when markets took their inevitable revenge on the rentiers by calling their (blatant) bluff.",20090101,"Palma, Jose G.",Working Paper,Working Paper,2009,,The Revenge of the Market on the Rentiers: Why neo-liberal Reports of the end of history turned out to be premature,"Investment; Capital; Intangible Capital; Capacity ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; International Economic Order and Integration ; Financial Aspects of Economic Integration ; International Relations and International Political Economy: Other ; Financial Institutions and Services: General ; Corporate Finance and Governance: General ; Economic History: Financial Markets and Institutions: General, International, or Comparative ; Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance ; Institutions and Growth",GEN,,,,,,,,eng,"Faculty of Economics, University of Cambridge, Cambridge Working Papers in Economics",,,,,,,,,,https://research.ebsco.com/plink/364cc418-dd07-38a7-8cf7-99786e71107c,,,,
EconLit with Full Text,eoh,1480700,Empirical Evidence on the Effects of Environmental Policy Stringency on Productivity Growth,"This paper investigates the impact of changes in the stringency of environmental policies on productivity growth in OECD countries. Using a new environmental policy stringency (EPS) index, it estimates a reduced-form model of multi-factor productivity growth, where the effect of countries' environmental policies varies with pollution intensity of the industry and technological advancement. A multi-layer analysis provides insights at the aggregate economy, the industry and the firm level. At the aggregate economy level, a negative effect on productivity growth is found one year ahead of the policy change. This negative ""announcement effect"" is offset within three years after the implementation. At the industry level, a tightening of environmental policy is associated with a short-term increase in industry-level productivity growth, for the most technologically advanced country-industry pairs. This effect diminishes with the distance to the global productivity frontier, becoming insignificant at larger distances. At the firm level, only the technologically most advanced firms show a positive effect on productivity growth from a tightening of environmental policies, while a third of firms, the less productive ones, experience a productivity slowdown.",20140101,"Albrizio, Silvia ; Kozluk, Tomasz ; Zipperer, Vera",Working Paper,Working Paper,2014,,Empirical Evidence on the Effects of Environmental Policy Stringency on Productivity Growth,Environment and Growth ; Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence ; Environmental Economics: General ; Environmental Economics: Government Policy,GEN,,,,,,,,eng,"OECD Publishing, OECD Economics Department Working Papers: 1179",,,,,,,,,,https://research.ebsco.com/plink/144889a0-8a22-3596-8472-d2e88a2ed44c,,,,
EconLit with Full Text,eoh,1310747,"Human Capital, Innovation, and Climate Policy: An Integrated Assessment","This paper looks at the interplay between human capital and innovation in the presence of climate and educational policies. Using recent empirical estimates, human capital and general purpose R&D are introduced in an integrated assessment model that has been extensively applied to study the climate change mitigation. Our results suggest that climate policy stimulates general purpose as well as clean energy R&D but reduces the incentive to invest in human capital formation. Human capital increases the productivity of labour and the complementarity between labour and energy drives its pollution-using effect (direct effect). When human capital is an essential input in the production of generic and energy dedicated knowledge, the crowding out induced by climate policy is mitigated, thought not completely offset (indirect effect). The pollution-using implications of the direct effect prevail over the indirect contribution of human capital to the creation of new and cleaner knowledge. A policy mix that combines educational as well as climate objectives offsets the human capital crowding-out with a moderate, short-term consumption loss. Human capital is complement to all forms of innovation and an educational policy stimulates both energy and general purpose innovation. This result has important policy implications considering the growing concern that effective climate policy is conditional on solid economic development and therefore it needs to be supplemented by other policy targets.",20120101,"Carraro, Carlo ; De Cian, Enrica ; Tavoni, Massimo",Working Paper,Working Paper,2012,,"Human Capital, Innovation, and Climate Policy: An Integrated Assessment","Technological Change: Choices and Consequences; Diffusion Processes ; One, Two, and Multisector Growth Models ; Energy and the Macroeconomy",GEN,,,,,,,,eng,"C.E.P.R. Discussion Papers, CEPR Discussion Papers: 8919",,,,,,,,,,https://research.ebsco.com/plink/ce7938de-38c1-3e48-9dfe-376e30e459be,,,,
EconLit with Full Text,eoh,1311045,"Human Capital, Innovation, and Climate Policy: An Integrated Assessment","This paper looks at the interplay between human capital and innovation in the presence of climate and educational policies. Using recent empirical estimates, human capital and general purpose R&D are introduced in an integrated assessment model that has been extensively applied to study climate change mitigation. Our results suggest that climate policy stimulates general purpose as well as clean energy R&D but reduces the incentive to invest in human capital formation. Human capital increases the productivity of labour and the complementarity between labour and energy drives its pollution-using effect (direct effect). When human capital is an essential input in the production of generic and energy dedicated knowledge, the crowding out induced by climate policy is mitigated, thought not completely offset (indirect effect). The pollution-using implications of the direct effect prevail over the indirect contribution of human capital to the creation of new and cleaner knowledge. A policy mix that combines educational as well as climate objectives offsets the human capital crowding-out with a moderate, short-term consumption loss. Human capital is complement to all forms of innovation and an educational policy stimulates both energy and general purpose innovation. This result has important policy implications considering the growing concern that effective climate policy is conditional on solid economic development and therefore it needs to be supplemented by other policy targets.",20120101,"Carraro, Carlo ; De Cian, Enrica ; Tavoni, Massimo",Working Paper,Working Paper,2012,,"Human Capital, Innovation, and Climate Policy: An Integrated Assessment","Technological Change: Choices and Consequences; Diffusion Processes ; One, Two, and Multisector Growth Models ; Energy and the Macroeconomy",GEN,,,,,,,,eng,"Fondazione Eni Enrico Mattei, Working Papers: 2012.18",,,,,,,,,,https://research.ebsco.com/plink/f22a0d5a-2e13-38f6-80f9-ca5f43f98e0c,,,,
EconLit with Full Text,eoh,0715153,A Pollution Theory of Discrimination: Male and Female Differences in Occupations and Earnings,"Occupations are segregated by sex today, but were far more segregated in the early to mid-twentieth century when married women began to enter the labor force in large numbers. It is difficult to rationalize sex segregation and 'wage discrimination' on the basis of men's taste for distance from women in the same way differences between other groups in work and housing have been explained. Rather, this paper constructs a 'pollution' theory model of discrimination in which new female hires may reduce the prestige of a previously all-male occupation. The predictions of the model concern the range of segregated and integrated occupations with respect to a productivity characteristic and how occupational segregation changes as the characteristic distributions become more similar by sex. The historical record reveals numerous cases of the model's predictions. Occupations that were more segregated by sex, for both men and women, contained individuals with higher levels of the productivity characteristic. 'Credentialization,' the shattering of old stereotypes, and information about individual women's productivities can help expunge 'pollution.'",20020101,"Goldin, Claudia",Working Paper,Working Paper,2002,,A Pollution Theory of Discrimination: Male and Female Differences in Occupations and Earnings,"Labor Discrimination: General ; Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: General, International, or Comparative",GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 8985",,,,,,,,,,https://research.ebsco.com/plink/369e21b2-dc6b-31fb-b0a5-e81f55f197f4,,,,
EconLit with Full Text,eoh,0802372,Empirical Essays in Environmental and Labor Economics,"This dissertation includes three empirical essays that address topics in environmental and labor economics. The analysis in each essay uses data that are more complete than data used in previous studies addressing the related topics. The first essay uses plant-level panel data to examine the effects that trade unions have on compliance with environmental regulations in the chemical manufacturing industry. Compliance is measured by pollution discharges relative to permitted limits. The analysis finds that unionised plants discharge more pollution than non-unionized plants. In additions, there is evidence from inspections that contradicts the argument that unions take an interest in environmental quality. These results contradict prior theoretical and empirical research that indicates unions have incentives to support stricter environmental regulation. The second essay uses firm-level panel data to examine the effects environmental regulation has on financial performance in the chemical manufacturing industry. Regulation is measured by the permitted limits of the firm relative to average permitted limits across all firms in the sample. The analysis finds that firms subject to more stringent permitted limits have worse financial performance. In addition, monitoring interventions intended to reinforce the stringency of regulation generally have a negative effect on financial performance. These results contradict prior economic research that argues stringent regulations enhances financial performance. The third essay uses panel data to examine a skill-weighted approach to firm-specific human capital and makes inferences about the contributions of skill differentials to increasing earnings inequality. Skills are measured by work activities. The analysis finds evidence that work activities are skills that have large effects on wages. In addition, returns to most work activities reman strong but much smaller when the analysis controls for unobserved individual ability. These results support prior theoretical research that argues most skills have a general component that earns different returns across firms. The analysis also finds weak evidence to support skill-biased technological change as an explanation for between-group earnings inequality.",20050101,"Rassier, Dylan",Dissertation,Dissertation,2005,,Empirical Essays in Environmental and Labor Economics,Environmental Economics: General ; Economics of Regulation ; Microelectronics; Computers; Communications Equipment ; Wage Level and Structure; Wage Differentials ; Human Capital; Skills; Occupational Choice; Labor Productivity,GEN,,,,,,,,eng,University of Kansas,,,,,,,,,,https://research.ebsco.com/plink/f9d3719c-6afe-30a5-b45a-a1ff5b380fde,,,,
EconLit with Full Text,eoh,0716071,Environmental Tax Interactions When Pollution Affects Health or Productivity,"Numerous recent studies have indicated that interactions with a tax-distorted labor market increase the cost of pollution regulation. However, these studies have made restrictive assumptions regarding individual preferences and have ignored key links between pollution, human health, and labor productivity. Together, these assumptions imply that the benefits of regulation do not affect labor supply. This paper develops an analytically tractable general equilibrium model that allows regulation to provide benefits through several different channels, including improved health or productivity. The model shows that when the benefits of reduced pollution come in the form of improved health or productivity, the benefits do affect labor supply, and therefore create a benefit-side tax-interaction effect in addition to the familiar cost-side interaction. This effect can magnify or diminish the benefits of reduced pollution. When reduced pollution boosts labor productivity, the effect substantially magnifies such benefits. When pollution affects consumer health, the effect will tend to be opposite, diminishing the benefits of reduced pollution. This result is of far more than just theoretical interest; the benefit-side interaction is of the same magnitude as the cost-side interaction, and thus can fundamentally affect the optimal level of regulation. The paper considers only environmental regulation, but the concepts developed here apply equally to other policies affecting productivity or health, such as research subsidies or occupational safety regulations.",20000101,"Williams, Roberton C.",Working Paper,Working Paper,2000,,Environmental Tax Interactions When Pollution Affects Health or Productivity,Economics of Regulation ; Taxation and Subsidies: Efficiency; Optimal Taxation,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 8049",,,,,,,,,,https://research.ebsco.com/plink/6d0b24ff-46fb-3f78-ad00-7f0457da5fe3,,,,
EconLit with Full Text,eoh,0874051,The Role of Amenities in the Location Decisions of Ph.D. Recipients in Science and Engineering,"Location-specific amenities have been shown to play an increasingly important role in individual migration decisions. The role certain amenities play in the location decisions of the highly educated may be the cause of persistent regional differences in certain types of human capital, and consequently in regional productivity. This dissertation examines the determinants of the location decisions of new Ph.D. recipients in science and engineering (S&E). A discrete choice random utility model of the city location decisions of new Ph.D.s is developed to estimate preferences for city attributes as well as willingness to pay for improved amenity quality. By estimating the value Ph.D.s place on various urban amenities, the results of this research help inform policymakers as to their ability (or inability) to attract and retain highly educated workers to their region through public investment in amenity quality. To link the choice of city with the geographic attributes of cities, a unique micro dataset is used which reports the planned employment city location of S&E Ph.D. recipients in the U.S. at the time of degree. The primary data comes from the 1997-1999 Survey of Earned Doctorates (SED), administered by Science Resources Statistics of the National Science Foundation. The SED is given to all new doctorate recipients in the U.S. at or near the time of degree, and has a response rate over 90%. The application focuses on approximately 23,000 new Ph.D.s who received their degree in one of twelve S&E fields during the period 1997-1999, and who had made a definite commitment to an employer in a known U.S. metropolitan area. The results consistently suggest that natural amenities, such as summer or winter temperatures, play a larger role in the location decisions of new S&E Ph.D.s than reproducible amenities, such as crime or air quality. The implication is that policymakers have only a limited ability to improve the composition of their workforce through amenity investment. The results also indicate that the influence of amenities on location choice is related to a number of observable characteristics such as age, race, marital status, citizenship, and Ph.D.s' previous migration behavior.",20050101,"Sumell, Albert Joseph",Dissertation,Dissertation,2005,,The Role of Amenities in the Location Decisions of Ph.D. Recipients in Science and Engineering,"Geographic Labor Mobility; Immigrant Workers ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics",GEN,,,,,,,,eng,Georgia State University,,,,,,,,,,https://research.ebsco.com/plink/eb87b0a5-e270-3df8-a581-59524bc77370,,,,
EconLit with Full Text,eoh,1075439,Three Essays in Public Finance and Environmental Economics,"The first essay studies the Marginal Cost of Funds in the existence of tax evasion. We develop a general equilibrium model of tax evasion, including the expected utility of taxpayers and three different revenue-raising government policies. In this rich model environment, we analytically derive the marginal cost of funds (MCF) for the alternative policy instruments. We consider two main fiscal reforms: the revision in the nonlinear tax scheme and the changes in enforcement mechanism (the audit and penalty rates). First, we derive the MCF for the tax reform and find its key determinants. The derived MCF is greater than the previous ones since it includes a ""risk-bearing cost"" as well as tax distortion. The reform in enforcement mechanism generates MCFs in different forms. Two more MCFs with respect to audit and penalty rates are presented. Finally, we compare these three different MCFs in numerical example and provide some policy implications. The second essay explores optimal tax structure in the presence of status effect. When the consumption of certain goods affects one's social status, this externality creates two opposite effects in a society. Seeking higher status through ""positional goods"" gives individuals much incentive to supply labor but still allocates income for less ""nonpositional goods"" as well. In this case, differential taxes on positional goods work as corrective instruments to internalize the social cost stemming from status seeking. Furthermore, the differential taxes generate revenue that can be used to alleviate preexisting income tax distortion. Thus, the differential taxes on positional goods could give so called ""double dividend."" I develop a game-theoretic model in which each individual with a different labor productivity unknown to the others engages in a status-seeking game, and the government has a revenue requirement. Then I show that, under a condition in which utility is separable between positional goods and leisure, a revenue-neutral shift in the tax mix away from nonlinear income taxes towards positional-good taxes enhances welfare. Hence, the differential taxes on positional goods are necessary together with the nonlinear income taxes for an optimal tax structure. The third essay explores the impact of increasing capital mobility on regional growth and environment. I develop an endogenous growth model in which each local government competes against the others, to induce imperfectly mobile stock of capital into its region. Then I show that an increase in capital mobility generates ""tax exporting"" due to which each locality experiences a higher growth rate and more degraded environment. That is, the increasing mobility dampens the capital tax and transfers the burden of pollution abatement to the locality. This finding supports the hypothesis of ""race to the bottom"" in environmental standards. Identifying a reduction in overall welfare of residents, I consider two alternative federal interventions in the model: uniform environmental standard and requirement of lump sum transfer or tax. Both of these federal instruments enhance the residents' welfare.",20090101,"Hwang, Sanghyun",Dissertation,Dissertation,January 2009,,Three Essays in Public Finance and Environmental Economics,"Taxation, Subsidies, and Revenue: General ; Environmental Economics: Government Policy ; Regional Economic Activity: Growth, Development, Environmental Issues, and Changes",GEN,,,,,,,,eng,University of Texas,,,,,,,,,,https://research.ebsco.com/plink/624da305-88b8-3fd5-9ac2-7913ae2ea986,,,,
EconLit with Full Text,eoh,0698599,Social Benefits of Education: Feedback Effects and Environmental Resources,"Richer countries are safer, healthier places to live. They pollute less and enjoy a higher standard of living. Evaluating the indirect, non-market effects of education requires detailed, microeconomic analyses of education's causal role in people's behavior. Thep purpose of this paper is to consider how education might influence the environmental quality people experience. Education could promote private behavior that enhances environmental quality for everyone, or increase people's effectiveness in protecting themselves from negative environmental effects. In order to attribute an indirect social benefit to one of these behavioral responses, we must establish that it resulted from a causal rather than a taste-related association with education.",19950101,"Smith, V. Kerry",Working Paper,Working Paper,1995,,Social Benefits of Education: Feedback Effects and Environmental Resources,Public Goods ; Allocative Efficiency; Cost-Benefit Analysis ; Human Capital; Skills; Occupational Choice; Labor Productivity,GEN,,,,,,,,eng,"Duke University, Department of Economics, Working Papers: 95-14",,,,,,,,,,https://research.ebsco.com/plink/74c04f91-9f24-3f67-b700-7694e952d004,,,,